order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
2090,260,220,2096,14525,12429,0.1443,1736,13348,11612,0.1301,0,0,0,N/A,89,191,102,0.466,5304,0,5304,N/A,4024,32811,28787,0.1226
2091,220,220,251,453,202,0.5541,224,421,197,0.5321,0,0,0,N/A,0,0,0,N/A,491,0,491,N/A,289,578,289,0.5
2092,246,230,796,23708,22912,0.0336,622,20980,20358,0.0296,0,0,0,N/A,41,544,503,0.0754,2854,0,2854,N/A,1520,73091,71571,0.0208
2093,263,263,45145,961981,916836,0.0469,27192,847622,820430,0.0321,0,0,0,N/A,366,10860,10494,0.0337,416237,0,416237,N/A,405183,4428404,4023221,0.0915
2094,280,280,617,5376,4759,0.1148,482,4797,4315,0.1005,0,0,0,N/A,18,105,87,0.1714,3049,0,3049,N/A,861,12147,11286,0.0709
2095,280,280,138835,20738701,20599866,0.0067,107729,17233622,17125893,0.0063,0,0,0,N/A,2683,324270,321587,0.0083,455524,0,455524,N/A,624637,118806804,118182167,0.0053
2096,310,300,15794,463777,447983,0.0341,13177,422342,409165,0.0312,0,0,0,N/A,475,6879,6404,0.0691,58332,0,58332,N/A,26947,1271831,1244884,0.0212
2097,310,300,6426,41449,35023,0.155,5179,38183,33004,0.1356,0,0,0,N/A,177,591,414,0.2995,29074,0,29074,N/A,11451,74766,63315,0.1532
2098,310,310,446,1825,1379,0.2444,365,1686,1321,0.2165,0,0,0,N/A,13,21,8,0.619,1897,0,1897,N/A,416,2295,1879,0.1813
2099,260,255,52955,1172955,1120000,0.0451,46443,1089317,1042874,0.0426,0,0,0,N/A,1228,20557,19329,0.0597,109505,0,109505,N/A,79232,1823730,1744498,0.0434
