order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
3905,BFD,4.8527,619,0.829,100.0,71.5,89.41,260.13,45624,,,,,,
3905,BNB,634.4687,553,0.869,100.0,80.03,92.42,252.77,34033,3209.0,309.0,9100.0,109432.0,1306816.0,1428866.0
3905,FFD,0.0584,1395,0.339,100.0,31.72,35.06,649.11,1382,,,,,,
3905,RANDOM,3.5026,820,0.273,56.41,22.07,38.01,313.57,34392,,,,,,
3906,BFD,3.5286,546,0.899,100.0,80.54,94.01,241.3,29466,,,,,,
3906,BNB,970.9115,530,0.898,100.0,82.97,93.2,243.08,45624,5433.0,1317.0,9392.0,139319.0,4512160.0,4667621.0
3906,FFD,0.0599,1400,0.335,100.0,31.41,34.65,654.26,1585,,,,,,
3906,RANDOM,3.5305,1086,0.173,58.97,13.3,30.66,378.58,32369,,,,,,
3907,BFD,4.2322,528,0.883,100.0,76.48,95.7,223.18,36234,,,,,,
3907,BNB,11993.9853,474,0.926,100.0,85.19,95.54,216.28,819570,189621.0,25297.0,205625.0,1997980.0,49883572.0,52302095.0
3907,FFD,0.0774,1396,0.313,100.0,28.93,31.74,641.22,1803,,,,,,
3907,RANDOM,3.7607,480,0.361,53.85,27.72,43.17,167.13,36285,,,,,,
3908,BFD,3.1608,620,0.859,100.0,78.65,87.18,281.59,26226,,,,,,
3908,BNB,316.3488,605,0.876,100.0,80.6,90.99,276.22,17244,2241.0,732.0,3672.0,50404.0,677401.0,734450.0
3908,FFD,0.053,1400,0.367,100.0,34.83,36.98,661.87,1301,,,,,,
3908,RANDOM,3.1968,790,0.341,58.97,26.05,43.41,272.66,32414,,,,,,
3909,BFD,5.1557,660,0.879,100.0,75.1,93.26,273.8,26070,,,,,,
3909,BNB,6.4098,0,0.0,0.0,,0.0,-1.0,130,0.0,0.0,58.0,467.0,3278.0,3803.0
3909,FFD,0.0642,1396,0.376,100.0,35.51,40.39,656.56,1830,,,,,,
3909,RANDOM,3.9351,734,0.245,51.28,18.64,42.93,252.22,38197,,,,,,
3910,BFD,2.9503,600,0.907,100.0,83.35,90.88,273.61,23718,,,,,,
3910,BNB,7840.1567,590,0.917,100.0,84.76,94.85,270.96,516724,151364.0,23305.0,135891.0,1057645.0,16301355.0,17669560.0
3910,FFD,0.063,1382,0.394,100.0,36.19,42.63,630.55,1506,,,,,,
3910,RANDOM,2.5421,1400,0.257,58.97,19.1,47.84,457.94,33049,,,,,,
3912,BFD,2.2415,680,0.868,100.0,80.22,88.93,312.11,13866,,,,,,
3912,BNB,3.5402,0,0.0,0.0,,0.0,-1.0,130,0.0,0.0,58.0,467.0,3278.0,3803.0
3912,FFD,0.0706,1400,0.422,100.0,38.96,44.76,641.77,1670,,,,,,
3912,RANDOM,1.4525,1400,0.29,69.23,27.92,33.49,673.98,27567,,,,,,
3913,BFD,4.5813,485,0.899,100.0,82.48,93.86,220.62,38244,,,,,,
3913,BNB,13.7092,0,0.0,0.0,,0.0,-1.0,513,16.0,0.0,244.0,1733.0,20747.0,22740.0
3913,FFD,0.0383,1395,0.306,100.0,28.67,31.93,651.2,1658,,,,,,
3913,RANDOM,2.3115,1200,0.215,61.54,17.19,32.46,451.33,30475,,,,,,
3914,BFD,1.4857,626,0.898,100.0,78.33,94.85,267.19,12168,,,,,,
3914,BNB,1366.5009,612,0.884,100.0,80.12,94.41,274.47,78336,5882.0,224.0,16893.0,265906.0,2948502.0,3237407.0
3914,FFD,0.1034,1375,0.388,100.0,35.66,40.8,627.95,2672,,,,,,
3914,RANDOM,1.5564,1372,0.283,66.67,24.31,42.0,574.39,26843,,,,,,
3915,BFD,4.4417,595,0.854,100.0,73.42,93.7,248.9,36504,,,,,,
3915,BNB,7.4073,0,0.0,0.0,,0.0,-1.0,271,0.0,0.0,195.0,894.0,10463.0,11552.0
3915,FFD,0.0782,1380,0.329,100.0,31.66,32.15,661.88,1950,,,,,,
3915,RANDOM,1.5979,982,0.41,79.49,34.06,50.27,390.99,16243,,,,,,
3916,BFD,3.6522,590,0.832,100.0,68.37,94.44,230.9,41004,,,,,,
3916,BNB,29103.3703,505,0.899,100.0,79.87,95.48,220.65,1517138,127047.0,22665.0,392788.0,4927204.0,76533695.0,82003399.0
3916,FFD,0.1025,1399,0.315,100.0,28.83,33.32,635.38,2595,,,,,,
3916,RANDOM,0.2163,1388,0.339,100.0,29.06,48.54,577.28,2953,,,,,,
